"lat","lon","vehicle_capacity"
"35.797707","139.617497","12"
"35.776425","139.623778","4"
"35.799769","139.625437","14"
"35.788163","139.620602","6"
"35.785897","139.612572","7"
"35.771003","139.620326","16"
"35.795311","139.78902","13"
"35.722","139.781459","3"
"35.736479","139.838224","10"
"35.750647148308","139.86840100863","5"
"35.801515","139.562577","6"
"35.794313","139.638991","10"
"35.790076","139.633396","5"
"35.772437","139.613067","10"
"35.773176","139.601097","7"
"35.7682718","139.564936","5"
"35.789181","139.593042","7"
"35.79406","139.628295","12"
"35.781479","139.605434","8"
"35.796548","139.59696","8"
"35.657094","139.596248","6"
"35.655969","139.617673","4"
"35.6238497","139.6134159","8"
"35.623511","139.638706","5"
"35.627071","139.643601","5"
"35.6374446","139.6438838","4"
"35.644157","139.668493","14"
"35.6101698","139.6538977","6"
"35.775351","139.811336","9"
"35.75142","139.879661","5"
"35.77729","139.815832","10"
"35.7828972","139.8159076","6"
"35.779704","139.814161","5"
"35.645946","139.56214","5"
"35.745724","139.760747","4"
"35.726499","139.777029","6"
"35.7298008","139.782203","4"
"35.733209","139.776412","6"
"35.733254","139.784383","12"
"35.736412","139.784103","14"
"35.734836","139.780645","4"
"35.729601","139.77125","20"
"35.739634","139.78338","5"
"35.742594109952","139.78152420848","12"
"35.743367","139.784876","4"
"35.7383628","139.794364","6"
"35.737094","139.795589","4"
"35.732544","139.799467","17"
"35.733747","139.808276","8"
"35.723722","139.664277","7"
"35.7660841","139.6713487","10"
"35.800452","139.597466","3"
"35.776499","139.619961","10"
"35.6596965","139.6232623","3"
"35.6916045","139.6689424","3"
"35.6998047","139.6848482","6"
"35.7441372","139.7328607","3"
"35.720888","139.801589","10"
"35.706789","139.78342","3"
"35.59222","139.628736","9"
"35.589433","139.630301","4"
"35.560052","139.696516","5"
"35.792081","139.84102","8"
"35.775377","139.826147","4"
"35.762955","139.792046","6"
"35.734585","139.865407","4"
"35.792692","139.690835","11"
"35.76551","139.706703","9"
"35.785321","139.60385","8"
"35.705817","139.722344","4"
"35.697672","139.807525","4"
"35.715625","139.793757","10"
"35.713426","139.637519","3"
"35.697776","139.662778","4"
"35.654924","139.544407","10"
"35.76354","139.830969","4"
"35.794925","139.83861","4"
"35.796913","139.819513","6"
"35.784249","139.77942","6"
"35.770029","139.765489","4"
"35.759331","139.75767","4"
"35.779269","139.705588","8"
"35.750118","139.686811","6"
"35.6915286","139.6733432","6"
"35.751028","139.7122","5"
"35.731178","139.795724","8"
"35.751047","139.83187","5"
"35.730993","139.863739","3"
"35.732703","139.768873","8"
"35.669897","139.801451","8"
"35.647502","139.563908","9"
"35.587148","139.733185","8"
"35.733245","139.883702","4"
"35.695945","139.868158","4"
"35.677442","139.869138","10"
"35.670131","139.86193","6"
"35.667197","139.857303","4"
"35.707964","139.790864","4"
"35.770341","139.645892","14"
"35.778936","139.644847","10"
"35.792318","139.64443","34"
"35.788698","139.66143","28"
"35.776597","139.634907","23"
"35.722549","139.77409","6"
"35.764353","139.834547","10"
"35.791413","139.821853","10"
"35.7825861","139.8067269","4"
"35.772102","139.8116506","10"
"35.787193","139.781818","6"
"35.77791","139.762875","4"
"35.7726064","139.6242192","6"
"35.744796","139.764141","6"
"35.77162","139.708255","5"
"35.785091","139.698933","10"
"35.784671","139.694622","10"
"35.789662","139.664513","5"
"35.751837","139.868321","4"
"35.8012608","139.5800694","6"
"35.565564","139.577155","6"
"35.78905","139.661817","4"
"35.62422","139.62721","6"
"35.637624","139.62347","6"
"35.748214","139.769116","6"
"35.749862","139.774356","8"
"35.73419","139.778675","12"
"35.745291","139.719096","12"
"35.734707","139.792845","5"
"35.775126","139.631394","10"
"35.55543","139.579324","3"
"35.589001","139.628809","5"
"35.670095","139.6149503","10"
"35.683214","139.613886","20"
"35.7988834","139.5842707","7"
"35.792611","139.598596","6"
"35.794471","139.599649","4"
"35.800942","139.588286","6"
"35.752346","139.778971","4"
"35.75145","139.78703","4"
"35.74574","139.761742","7"
"35.5891676","139.5849279","6"
"35.6198818","139.6303142","3"
"35.7739654","139.7005431","4"
"35.720681","139.568695","6"
"35.694434","139.792465","7"
"35.76251102754","139.6772565903","45"
"35.771759","139.690044","7"
"35.709784","139.810545","8"
"35.74141","139.880685","10"
"35.734365","139.877475","5"
"35.717754","139.883977","4"
"35.707547","139.879298","8"
"35.705921","139.867739","11"
"35.7083519","139.8629235","8"
"35.688913","139.878467","6"
"35.687803","139.876786","8"
"35.666993","139.883886","4"
"35.677144","139.853506","6"
"35.650217","139.872575","4"
"35.660067","139.698576","3"
"35.788476","139.613238","9"
"35.785597","139.600781","8"
"35.713808","139.717438","6"
"35.714735","139.709825","4"
"35.725858","139.68262","6"
"35.748077","139.833222","3"
"35.733576","139.788442","8"
"35.770156","139.647536","8"
"35.65588","139.616843","5"
"35.790399","139.786871","6"
"35.667789","139.613141","5"
"35.708635","139.601522","5"
"35.660708","139.793522","12"
"35.799812","139.590013","6"
"35.798393","139.604623","4"
"35.758877319772","139.68729891858","9"
"35.775148","139.756711","4"
"35.795289","139.688247","5"
"35.7271","139.789563","5"
"35.800722","139.577982","6"
"35.801903","139.58965","5"
"35.792681","139.603171","6"
"35.759775","139.674271","8"
"35.782654","139.793015","10"
"35.747651","139.702719","10"
"35.772385","139.668195","9"
"35.776295","139.666788","7"
"35.7857076","139.644082","9"
"35.732303","139.820127","9"
"35.692936","139.813329","17"
"35.78905","139.592405","15"
"35.664444","139.665488","7"
"35.649917","139.559377","4"
"35.79403","139.590847","8"
"35.788176","139.679692","4"
"35.723176","139.777046","3"
"35.76805","139.587112","5"
"35.719983","139.786912","6"
"35.755267","139.770146","9"
"35.774763","139.793652","57"
"35.779916406978","139.78146538138","8"
"35.796478","139.78994","9"
"35.796862","139.770175","18"
"35.7878478","139.7711087","5"
"35.756256","139.696854","10"
"35.766509","139.702381","6"
"35.766726","139.69039","6"
"35.7129575","139.7922566","20"
"35.790791","139.599318","7"
"35.78648","139.5984","6"
"35.800562","139.627654","5"
"35.780462","139.666613","6"
"35.80138","139.619199","12"
"35.8015244","139.5916584","6"
"35.7468795","139.7943667","14"
"35.653593","139.585398","6"
"35.68175","139.796821","3"
"35.778387","139.683805","6"
"35.784421","139.684725","5"
"35.7859034","139.7564491","6"
"35.789158","139.597148","6"
"35.79185","139.586871","7"
"35.767678","139.806439","13"
"35.78420299667","139.84184324741","4"
"35.769361","139.761799","11"
"35.642397","139.668874","5"
"35.794696","139.667559","16"
"35.745891","139.688979","5"
"35.742882","139.68487","4"
"35.744445","139.800383","8"
"35.792225","139.640074","6"
"35.78616","139.681979","4"
"35.782967","139.673543","4"
"35.7367","139.807714","4"
"35.775748","139.804709","6"
"35.72865","139.799756","5"
"35.572332","139.545876","5"
"35.7065","139.8681","13"
"35.666148","139.869758","5"
"35.696479","139.848821","5"
"35.6756","139.8695","5"
"35.7179","139.8764","10"
"35.668402","139.862623","5"
"35.710262489155","139.8697449929","5"
"35.67534","139.870876","5"
"35.634814","139.691752","3"
"35.795512","139.613803","4"
"35.793073","139.622398","5"
"35.641076","139.600454","15"
"35.6378","139.60967","12"
"35.621447","139.627267","4"
"35.607063","139.66183","3"
"35.609256","139.632679","24"
"35.606","139.6433","12"
"35.630899","139.611025","24"
"35.6217","139.6183","6"
"35.6293","139.6007","6"
"35.63092","139.599622","6"
"35.6249","139.5951","10"
"35.577266","139.63355","9"
"35.781038","139.698689","8"
"35.772186","139.693746","10"
"35.770559","139.684218","7"
"35.765801","139.698131","6"
"35.74829","139.714535","13"
"35.779489","139.675412","5"
"35.783597","139.66206","6"
"35.791303","139.639848","10"
"35.788931","139.635595","10"
"35.778805","139.661833","6"
"35.770108","139.638828","6"
"35.791557","139.689898","19"
"35.7769","139.684434","9"
"35.5699637","139.651515","6"
"35.585604","139.644212","11"
"35.697385","139.814001","10"
"35.560214","139.672643","5"
"35.559042","139.650054","6"
"35.706878","139.77891","7"
"35.660743","139.586463","17"
"35.656126","139.577239","10"
"35.659908","139.573621","5"
"35.659886164508","139.57416733698","4"
"35.657146","139.572408","6"
"35.650809","139.55964","20"
"35.649741","139.553838","20"
"35.651544","139.544773","30"
"35.651713","139.540706","7"
"35.650912","139.547348","20"
"35.668839","139.561996","5"
"35.679693","139.547372","7"
"35.655464","139.553523","5"
"35.663446","139.553064","5"
"35.764742","139.828466","4"
"35.744398","139.84393","3"
"35.698857","139.802479","4"
"35.707126","139.777687","5"
"35.771525","139.744378","7"
"35.780719","139.696865","9"
"35.791787","139.655455","6"
"35.688536","139.641413","4"
"35.681885","139.632879","4"
"35.707966","139.776449","20"
"35.720525","139.877101","5"
"35.795696","139.643471","5"
"35.551864","139.675042","10"
"35.575458","139.655639","10"
"35.574249","139.646307","6"
"35.718942","139.651181","6"
"35.783332","139.853932","8"
"35.776809","139.871164","5"
"35.7505789","139.876835","6"
"35.752713","139.839267","8"
"35.72336","139.794742","4"
"35.770757","139.65965","9"
"35.59761","139.652669","4"
"35.639247","139.561585","10"
"35.735487","139.683395","4"
"35.74642","139.803611","6"
"35.755342","139.84962","6"
"35.78608","139.66722","4"
"35.749223","139.680331","3"
"35.799239","139.552279","6"
"35.792177","139.58371","6"
"35.793904","139.580182","4"
"35.778863","139.608038","12"
"35.75218","139.802897","24"
"35.610257","139.60245","6"
"35.622624","139.688873","5"
"35.748156","139.718405","6"
"35.800553","139.603332","6"
"35.793437","139.594615","6"
"35.754213","139.870206","4"
"35.775992","139.631253","3"
"35.736063","139.771067","4"
"35.736421","139.791098","10"
"35.587289","139.629128","7"
"35.750897","139.794359","5"
"35.736628","139.64985","4"
"35.74067","139.870612","4"
"35.7279675","139.787788","3"
"35.788235","139.769662","4"
"35.679906","139.880382","6"
"35.697414","139.876527","6"
"35.699318","139.86682","5"
"35.773522","139.699715","6"
"35.552305","139.737197","4"
"35.5910747","139.7262659","20"
"35.753926","139.791509","4"
"35.759742","139.824241","4"
"35.778371","139.82217","4"
"35.800402","139.799286","6"
"35.725224","139.589114","3"
"35.782039","139.692603","4"
"35.625257","139.655631","6"
"35.697315","139.704995","13"
"35.731076","139.803784","4"
"35.7175623","139.7909919","8"
"35.725272","139.817775","11"
"35.6246589","139.5544481","5"
"35.704868","139.682301","3"
"35.735438","139.728419","6"
"35.796036","139.785552","4"
"35.799192","139.810175","6"
"35.788622","139.796213","4"
"35.778404","139.798302","6"
"35.777181","139.806264","4"
"35.783213","139.836835","4"
"35.681426","139.873964","8"
"35.676512","139.878031","6"
"35.727249","139.86815","4"
"35.786007","139.865094","5"
"35.794124","139.625359","6"
"35.7834691","139.7656709","6"
"35.7785879","139.7623927","13"
"35.634173","139.662485","6"
